word,pos,signal,userId,cheat,session,time,eltime,wpm,i
house,NN,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
custom,NN,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
servants,NNS,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844468,13.2,586.3636363636364,43
cousins,NNS,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844468,13.2,586.3636363636364,43
cousins,VBZ,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844468,13.2,586.3636363636364,43
knew,VB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844468,13.2,586.3636363636364,43
household,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570845858,107.0,56.63551401869159,44
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570845858,107.0,56.63551401869159,44
Heavenly,NNP,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570845858,107.0,56.63551401869159,44
Kingdom,NNP,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570845858,107.0,56.63551401869159,44
agreed,VBD,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570845858,107.0,56.63551401869159,44
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848139,310.2,23.597678916827853,45
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848139,310.2,23.597678916827853,45
servants,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848139,310.2,23.597678916827853,45
household,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848139,310.2,23.597678916827853,45
place,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848139,310.2,23.597678916827853,45
lips,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848168,18.5,343.7837837837838,46
household,NN,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848168,18.5,343.7837837837838,46
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570848168,18.5,343.7837837837838,46
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
know,VB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
house,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
house,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570849092,105.0,64.57142857142857,47
